Name,Genus-4D
3_1,1
4_1,1
5_1,2
5_2,1
6_1,0
6_2,1
6_3,1
7_1,3
7_2,1
7_3,2
7_4,1
7_5,2
7_6,1
7_7,1
8_1,1
8_2,2
8_3,1
8_4,1
8_5,2
8_6,1
8_7,1
8_8,0
8_9,0
8_10,1
8_11,1
8_13,1
8_14,1
8_15,2
8_16,1
8_17,1
8_18,1
8_19,3
8_20,0
8_21,1
9_1,4
9_2,1
9_3,3
9_4,2
9_5,1
9_6,3
9_7,2
9_8,1
9_9,3
9_10,2
9_11,2
9_12,1
9_13,2
9_14,1
9_15,1
9_16,3
9_18,2
9_19,1
9_20,2
9_21,1
9_22,1
9_23,2
9_24,1
9_25,1
9_26,1
9_27,0
9_28,1
9_29,1
9_30,1
9_31,1
9_32,1
9_33,1
9_34,1
9_35,1
9_36,2
9_37,1
9_38,2
9_39,1
9_40,1
9_41,0
9_42,1
9_44,1
9_45,1
9_46,0
9_47,1
9_48,1
9_49,2
10_1,1
10_2,3
10_3,0
10_4,1
10_5,2
10_6,2
10_7,1
10_8,2
10_9,1
10_10,1
10_11,1
10_12,1
10_13,1
10_14,2
10_15,1
10_16,1
10_17,1
10_18,1
10_19,1
10_21,2
10_22,0
10_23,1
10_24,1
10_25,2
10_26,1
10_27,1
10_28,1
10_29,1
10_30,1
10_31,1
10_32,1
10_33,1
10_34,1
10_35,0
10_36,1
10_37,1
10_38,1
10_39,2
10_40,1
10_41,1
10_42,0
10_43,1
10_44,1
10_45,1
10_47,2
10_48,0
10_49,3
10_50,2
10_51,1
10_52,1
10_53,2
10_54,1
10_55,2
10_56,2
10_57,1
10_58,1
10_59,1
10_60,1
10_61,2
10_62,2
10_63,2
10_64,1
10_65,1
10_66,3
10_67,1
10_68,1
10_69,1
10_70,1
10_71,1
10_73,1
10_74,1
10_75,0
10_76,2
10_77,1
10_78,2
10_79,1
10_80,3
10_81,1
10_82,1
10_83,1
10_84,1
10_85,2
10_86,1
10_87,0
10_88,1
10_89,1
10_90,1
10_91,1
10_92,2
10_93,1
10_94,1
10_95,1
10_96,1
10_97,1
10_99,0
10_100,2
10_101,2
10_102,1
10_103,1
10_104,1
10_105,1
10_106,1
10_107,1
10_108,1
10_109,1
10_110,1
10_111,2
10_112,1
10_113,1
10_114,1
10_115,1
10_116,1
10_117,1
10_118,1
10_119,1
10_120,2
10_121,1
10_122,1
10_123,0
10_125,1
10_126,1
10_127,2
10_128,3
10_129,0
10_130,1
10_131,1
10_132,1
10_133,1
10_134,3
10_135,1
10_136,1
10_137,0
10_138,1
10_139,4
10_140,0
10_141,1
10_142,3
10_143,1
10_144,1
10_145,2
10_146,1
10_147,1
10_148,1
10_149,2
10_151,1
10_152,4
10_153,0
10_154,3
10_155,0
10_156,1
10_157,2
10_158,1
10_159,1
10_160,2
10_161,3
10_162,1
10_163,1
10_164,1
10_165,1
11a_1,1
11a_2,2
11a_3,1
11a_4,1
11a_5,1
11a_6,1
11a_7,1
11a_8,1
11a_9,2
11a_10,1
11a_12,1
11a_13,1
11a_14,1
11a_15,1
11a_16,1
11a_17,1
11a_18,1
11a_19,1
11a_20,2
11a_21,1
11a_22,2
11a_23,1
11a_24,1
11a_25,1
11a_26,1
11a_27,1
11a_28,0
11a_29,1
11a_30,1
11a_31,2
11a_32,1
11a_33,1
11a_34,1
11a_35,0
11a_36,0
11a_38,1
11a_39,1
11a_40,2
11a_41,1
11a_42,1
11a_43,3
11a_44,1
11a_45,1
11a_46,1
11a_47,1
11a_48,2
11a_49,2
11a_50,1
11a_51,1
11a_52,1
11a_53,2
11a_54,1
11a_55,1
11a_56,1
11a_57,1
11a_58,0
11a_59,1
11a_60,2
11a_61,1
11a_62,3
11a_64,2
11a_65,1
11a_66,1
11a_67,1
11a_68,1
11a_69,1
11a_70,1
11a_71,1
11a_72,1
11a_73,1
11a_74,2
11a_75,1
11a_76,1
11a_77,1
11a_78,1
11a_79,1
11a_80,1
11a_81,1
11a_82,1
11a_83,2
11a_84,1
11a_85,1
11a_86,1
11a_87,0
11a_88,1
11a_90,1
11a_91,1
11a_92,1
11a_93,1
11a_94,3
11a_95,2
11a_96,0
11a_97,1
11a_98,1
11a_99,1
11a_100,2
11a_101,1
11a_102,1
11a_103,0
11a_104,1
11a_105,2
11a_106,1
11a_107,1
11a_108,1
11a_109,1
11a_110,1
11a_111,1
11a_112,1
11a_113,2
11a_114,1
11a_116,2
11a_117,2
11a_118,1
11a_119,1
11a_120,2
11a_121,1
11a_122,1
11a_123,2
11a_124,3
11a_125,1
11a_126,1
11a_127,2
11a_128,1
11a_129,2
11a_130,1
11a_131,1
11a_132,1
11a_133,1
11a_134,1
11a_135,1
11a_136,1
11a_137,1
11a_138,1
11a_139,1
11a_140,2
11a_142,3
11a_143,2
11a_144,2
11a_145,1
11a_146,1
11a_147,1
11a_148,1
11a_149,1
11a_150,2
11a_151,1
11a_152,1
11a_153,1
11a_154,1
11a_155,1
11a_156,1
11a_157,1
11a_158,1
11a_159,1
11a_160,1
11a_161,2
11a_162,1
11a_163,1
11a_164,0
11a_165,0
11a_166,1
11a_168,1
11a_169,0
11a_170,1
11a_171,1
11a_172,1
11a_173,1
11a_174,1
11a_175,1
11a_176,1
11a_177,2
11a_178,1
11a_179,2
11a_180,1
11a_181,1
11a_182,2
11a_183,1
11a_184,1
11a_185,1
11a_186,3
11a_187,1
11a_188,1
11a_189,1
11a_190,1
11a_191,3
11a_192,2
11a_194,2
11a_195,1
11a_196,1
11a_197,1
11a_198,1
11a_199,1
11a_200,2
11a_201,0
11a_202,1
11a_203,3
11a_204,2
